country,year,population,diagnosis,gender,age,count
Argentina,2000,36903067,sp,m,014,97
Argentina,2000,36903067,sp,m,1524,278
Argentina,2000,36903067,sp,m,2534,594
Argentina,2000,36903067,sp,m,3544,402
Argentina,2000,36903067,sp,m,4554,419
Argentina,2000,36903067,sp,m,5564,368
Argentina,2000,36903067,sp,m,65,330
Argentina,2000,36903067,sp,f,014,121
Argentina,2000,36903067,sp,f,1524,544
Argentina,2000,36903067,sp,f,2534,479
Argentina,2000,36903067,sp,f,3544,262
Argentina,2000,36903067,sp,f,4554,230
Argentina,2000,36903067,sp,f,5564,179
Argentina,2000,36903067,sp,f,65,216
Argentina,2001,37273361,sp,m,014,78
Argentina,2001,37273361,sp,m,1524,682
Argentina,2001,37273361,sp,m,2534,611
Argentina,2001,37273361,sp,m,3544,495
Argentina,2001,37273361,sp,m,4554,471
Argentina,2001,37273361,sp,m,5564,404
Argentina,2001,37273361,sp,m,65,436
Argentina,2001,37273361,sp,f,014,85
Argentina,2001,37273361,sp,f,1524,674
Argentina,2001,37273361,sp,f,2534,561
Argentina,2001,37273361,sp,f,3544,303
Argentina,2001,37273361,sp,f,4554,242
Argentina,2001,37273361,sp,f,5564,215
Argentina,2001,37273361,sp,f,65,249
Argentina,2002,37627545,sp,m,014,70
Argentina,2002,37627545,sp,m,1524,612
Argentina,2002,37627545,sp,m,2534,658
Argentina,2002,37627545,sp,m,3544,463
Argentina,2002,37627545,sp,m,4554,477
Argentina,2002,37627545,sp,m,5564,389
Argentina,2002,37627545,sp,m,65,399
Argentina,2002,37627545,sp,f,014,117
Argentina,2002,37627545,sp,f,1524,622
Argentina,2002,37627545,sp,f,2534,580
Argentina,2002,37627545,sp,f,3544,301
Argentina,2002,37627545,sp,f,4554,237
Argentina,2002,37627545,sp,f,5564,203
Argentina,2002,37627545,sp,f,65,255
Argentina,2003,37970411,sp,m,014,89
Argentina,2003,37970411,sp,m,1524,574
Argentina,2003,37970411,sp,m,2534,565
Argentina,2003,37970411,sp,m,3544,413
Argentina,2003,37970411,sp,m,4554,461
Argentina,2003,37970411,sp,m,5564,366
Argentina,2003,37970411,sp,m,65,405
Argentina,2003,37970411,sp,f,014,99
Argentina,2003,37970411,sp,f,1524,516
Argentina,2003,37970411,sp,f,2534,513
Argentina,2003,37970411,sp,f,3544,294
Argentina,2003,37970411,sp,f,4554,241
Argentina,2003,37970411,sp,f,5564,192
Argentina,2003,37970411,sp,f,65,231
Argentina,2004,38308779,sp,m,014,64
Argentina,2004,38308779,sp,m,1524,588
Argentina,2004,38308779,sp,m,2534,543
Argentina,2004,38308779,sp,m,3544,399
Argentina,2004,38308779,sp,m,4554,387
Argentina,2004,38308779,sp,m,5564,332
Argentina,2004,38308779,sp,m,65,345
Argentina,2004,38308779,sp,f,014,98
Argentina,2004,38308779,sp,f,1524,519
Argentina,2004,38308779,sp,f,2534,477
Argentina,2004,38308779,sp,f,3544,271
Argentina,2004,38308779,sp,f,4554,237
Argentina,2004,38308779,sp,f,5564,169
Argentina,2004,38308779,sp,f,65,237
Argentina,2005,38647854,sp,m,014,64
Argentina,2005,38647854,sp,m,1524,621
Argentina,2005,38647854,sp,m,2534,530
Argentina,2005,38647854,sp,m,3544,358
Argentina,2005,38647854,sp,m,4554,384
Argentina,2005,38647854,sp,m,5564,340
Argentina,2005,38647854,sp,m,65,348
Argentina,2005,38647854,sp,f,014,90
Argentina,2005,38647854,sp,f,1524,530
Argentina,2005,38647854,sp,f,2534,474
Argentina,2005,38647854,sp,f,3544,290
Argentina,2005,38647854,sp,f,4554,198
Argentina,2005,38647854,sp,f,5564,169
Argentina,2005,38647854,sp,f,65,240
Argentina,2006,38988923,sp,m,014,67
Argentina,2006,38988923,sp,m,1524,519
Argentina,2006,38988923,sp,m,2534,484
Argentina,2006,38988923,sp,m,3544,360
Argentina,2006,38988923,sp,m,4554,351
Argentina,2006,38988923,sp,m,5564,346
Argentina,2006,38988923,sp,m,65,321
Argentina,2006,38988923,sp,f,014,74
Argentina,2006,38988923,sp,f,1524,438
Argentina,2006,38988923,sp,f,2534,437
Argentina,2006,38988923,sp,f,3544,235
Argentina,2006,38988923,sp,f,4554,197
Argentina,2006,38988923,sp,f,5564,173
Argentina,2006,38988923,sp,f,65,213
Argentina,2007,39331357,sp,m,014,77
Argentina,2007,39331357,sp,m,1524,656
Argentina,2007,39331357,sp,m,2534,623
Argentina,2007,39331357,sp,m,3544,401
Argentina,2007,39331357,sp,m,4554,415
Argentina,2007,39331357,sp,m,5564,389
Argentina,2007,39331357,sp,m,65,324
Argentina,2007,39331357,sp,f,014,70
Argentina,2007,39331357,sp,f,1524,558
Argentina,2007,39331357,sp,f,2534,500
Argentina,2007,39331357,sp,f,3544,246
Argentina,2007,39331357,sp,f,4554,217
Argentina,2007,39331357,sp,f,5564,172
Argentina,2007,39331357,sp,f,65,246
Argentina,2008,39676083,sp,m,014,69
Argentina,2008,39676083,sp,m,1524,633
Argentina,2008,39676083,sp,m,2534,611
Argentina,2008,39676083,sp,m,3544,390
Argentina,2008,39676083,sp,m,4554,416
Argentina,2008,39676083,sp,m,5564,364
Argentina,2008,39676083,sp,m,65,295
Argentina,2008,39676083,sp,f,014,66
Argentina,2008,39676083,sp,f,1524,536
Argentina,2008,39676083,sp,f,2534,506
Argentina,2008,39676083,sp,f,3544,252
Argentina,2008,39676083,sp,f,4554,221
Argentina,2008,39676083,sp,f,5564,157
Argentina,2008,39676083,sp,f,65,204
Argentina,2009,40023641,sp,m,014,44
Argentina,2009,40023641,sp,m,1524,546
Argentina,2009,40023641,sp,m,2534,483
Argentina,2009,40023641,sp,m,3544,348
Argentina,2009,40023641,sp,m,4554,327
Argentina,2009,40023641,sp,m,5564,303
Argentina,2009,40023641,sp,m,65,297
Argentina,2009,40023641,sp,f,014,63
Argentina,2009,40023641,sp,f,1524,434
Argentina,2009,40023641,sp,f,2534,406
Argentina,2009,40023641,sp,f,3544,257
Argentina,2009,40023641,sp,f,4554,185
Argentina,2009,40023641,sp,f,5564,137
Argentina,2009,40023641,sp,f,65,199
Argentina,2010,40374224,sp,m,014,56
Argentina,2010,40374224,sp,m,1524,536
Argentina,2010,40374224,sp,m,2534,491
Argentina,2010,40374224,sp,m,3544,309
Argentina,2010,40374224,sp,m,4554,302
Argentina,2010,40374224,sp,m,5564,340
Argentina,2010,40374224,sp,m,65,282
Argentina,2010,40374224,sp,f,014,59
Argentina,2010,40374224,sp,f,1524,421
Argentina,2010,40374224,sp,f,2534,426
Argentina,2010,40374224,sp,f,3544,233
Argentina,2010,40374224,sp,f,4554,184
Argentina,2010,40374224,sp,f,5564,153
Argentina,2010,40374224,sp,f,65,176
